name,brand,category,price,retail,releaseDate,description,images,inStock,featured,trending
Jordan 11 Retro Gamma Blue (2025),Jordan,jordan,266,266,,Jordan 11 Retro Gamma Blue (2025) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-11-Retro-Gamma-Blue-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 4 Retro OG Flight Club,Jordan,jordan,160,160,,Jordan 4 Retro OG Flight Club - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-4-Retro-OG-Flight-Club-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 4 Retro Black Cat (2025),Jordan,jordan,262,262,,Jordan 4 Retro Black Cat (2025) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-4-Retro-Black-Cat-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 4 Retro White Cement (2025),Jordan,jordan,196,196,,Jordan 4 Retro White Cement (2025) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-4-Retro-White-Cement-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro High OG Chicago Lost and Found,Jordan,jordan,249,249,,Jordan 1 Retro High OG Chicago Lost and Found - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Chicago-Reimagined-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro High Dior,Jordan,jordan,6000,6000,,Jordan 1 Retro High Dior - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-Dior-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Mid Chicago (2020),Jordan,jordan,163,163,,Jordan 1 Mid Chicago (2020) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Mid-Chicago-2020-Product.png?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro High OG Rare Air,Jordan,jordan,80,80,,Jordan 1 Retro High OG Rare Air - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Rare-Air-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 4 Retro Cave Stone,Jordan,jordan,149,149,,Jordan 4 Retro Cave Stone - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-4-Retro-Cave-Stone-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 4 Retro Black Cat (2025) (GS),Jordan,jordan,125,125,,Jordan 4 Retro Black Cat (2025) (GS) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-4-Retro-Black-Cat-2025-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 4 Retro SB Navy,Jordan,jordan,133,133,,Jordan 4 Retro SB Navy - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-4-Retro-SB-Navy-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 4 Retro Rare Air (White Lettering),Jordan,jordan,166,166,,Jordan 4 Retro Rare Air (White Lettering) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-4-Retro-Rare-Air-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro Low OG Chicago (2025),Jordan,jordan,104,104,,Jordan 1 Retro Low OG Chicago (2025) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-Low-OG-Chicago-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 11 Retro Gamma Blue (2025) (GS),Jordan,jordan,168,168,,Jordan 11 Retro Gamma Blue (2025) (GS) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-11-Retro-Gamma-Blue-2025-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro High OG Shattered Backboard (2025),Jordan,jordan,89,89,,Jordan 1 Retro High OG Shattered Backboard (2025) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Shattered-Backboard-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro Low OG Zion Williamson Voodoo Alternate,Jordan,jordan,62,62,,Jordan 1 Retro Low OG Zion Williamson Voodoo Alternate - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-Low-OG-Zion-Williamson-Voodoo-Alternate-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro High OG Heritage,Jordan,jordan,143,143,,Jordan 1 Retro High OG Heritage - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Heritage-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Mid SE Industrial Blue,Jordan,jordan,94,94,,Jordan 1 Mid SE Industrial Blue - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Mid-SE-Industrial-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro High OG Palomino,Jordan,jordan,200,200,,Jordan 1 Retro High OG Palomino - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Palomino-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro High OG White Cement,Jordan,jordan,135,135,,Jordan 1 Retro High OG White Cement - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-White-Cement-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 3 Retro Pure Money (2025),Jordan,jordan,148,148,,Jordan 3 Retro Pure Money (2025) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-3-Retro-Pure-Money-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 12 Retro Taxi (2025),Jordan,jordan,188,188,,Jordan 12 Retro Taxi (2025) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-12-Retro-Taxi-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 11 Retro Rare Air,Jordan,jordan,146,146,,Jordan 11 Retro Rare Air - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-11-Retro-Rare-Air-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 4 Retro Bred Reimagined,Jordan,jordan,219,219,,Jordan 4 Retro Bred Reimagined - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-4-Retro-Bred-Reimagined-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 8 Retro White True Red (2025),Jordan,jordan,160,160,,Jordan 8 Retro White True Red (2025) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-8-Retro-Bugs-Bunny-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 5 Retro Medium Soft Pink,Jordan,jordan,140,140,,Jordan 5 Retro Medium Soft Pink - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-5-Retro-Medium-Soft-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 1 Retro High OG Black Toe Reimagined,Jordan,jordan,60,60,,Jordan 1 Retro High OG Black Toe Reimagined - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Black-Toe-Reimagined-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan Jumpman Jack TR Travis Scott x Chase B Black Night Silver,Jordan,jordan,190,190,,Jordan Jumpman Jack TR Travis Scott x Chase B Black Night Silver - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-Jumpman-Jack-TR-Travis-Scott-x-Chase-B-Black-Night-Silver-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 4 Retro Military Blue (2024),Jordan,jordan,190,190,,Jordan 4 Retro Military Blue (2024) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-4-Retro-Military-Blue-2024-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 5 Retro Fire Red Black Tongue (2025),Jordan,jordan,162,162,,Jordan 5 Retro Fire Red Black Tongue (2025) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-5-Retro-Fire-Red-Black-Tongue-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
Jordan 11 Retro Legend Blue (2024),Jordan,jordan,160,160,,Jordan 11 Retro Legend Blue (2024) - Jordan sneakers.,https://images.stockx.com/images/Air-Jordan-11-Retro-Legend-Blue-2024-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90,true,false,false
